"depth","headdirection","wrapping","facebundles","sex"
"1.23","W","","N",""
"1.22","W","W","N",""
"1.22","","W","N",""
"1.22","W","H","Y",""
"1.22","W","W","N","F"
"1.22","W","","N",""
"1.22","W","W","N",""
"1.21","W","W","N",""
"1.2","W","W","N","F"
"1.2","W","W","N",""
"1.2","","B","N",""
"1.2","W","B","Y","M"
"1.2","W","W","N",""
"1.2","W","B","N",""
"1.2","W","W","Y",""
"1.2","W","B","N",""
"1.2","W","B","N",""
"1.2","","B","N",""
"1.2","W","H","Y",""
"1.2","W","","N",""
"1.2","W","W","N",""
"1.2","","W","N","M"
"1.2","W","H","N",""
"1.2","","B","N",""
"1.2","","B","Y","F"
"1.2","","W","N","M"
"1.2","W","W","N",""
"1.19","W","","N",""
"1.18","W","W","Y",""
"1.18","W","W","Y","M"
"1.17","W","W","N",""
"1.17","W","","N",""
"1.17","W","W","N",""
"1.17","W","B","N",""
"1.17","W","B","N","F"
"1.16","W","W","N",""
"1.16","W","B","N","M"
"1.15","W","W","Y",""
"1.15","W","W","N",""
"1.15","W","H","N",""
"1.15","W","W","Y",""
"1.14","W","B","N",""
"1.14","W","B","N",""
"1.14","W","W","N",""
"1.13","W","W","N",""
"1.13","W","W","N",""
"1.13","W","W","N",""
"1.12","W","B","N",""
"1.12","E","W","N","M"
"1.11","","W","N",""
"1.11","W","W","Y",""
"1.1","W","W","Y","M"
"1.1","W","W","N",""
"1.1","W","H","N",""
"1.1","","W","N",""
"1.1","W","W","Y",""
"1.1","W","W","N",""
"1.1","","W","N",""
"1.1","W","B","N",""
"1.1","W","","N",""
"1.1","W","W","N",""
"1.1","","B","N",""
"1.1","W","H","N",""
"1.1","W","W","N",""
"1.1","","W","N",""
"1.1","W","B","N",""
"1.1","W","H","N",""
"1.1","W","W","N",""
"1.1","","B","N","F"
"1.1","","W","N",""
"1.1","W","H","Y",""
"1.1","W","W","Y","F"
"1.1","W","B","N",""
"1.1","W","B","N",""
"1.1","E","W","N",""
"1.1","","W","N",""
"1.1","","B","N",""
"1.1","W","W","N",""
"1.09","W","W","N",""
"1.07","","W","N",""
"1.07","","W","Y",""
"1.07","W","W","N",""
"1.06","W","W","N",""
"1.06","","W","N",""
"1.05","W","B","N",""
"1.05","W","W","N",""
"1.05","W","B","N",""
"1.05","W","B","N",""
"1.05","W","","N",""
"1.05","W","H","N",""
"1.05","W","W","N","F"
"1.05","W","","N",""
"1.05","W","B","N",""
"1.04","W","W","N","F"
"1.04","W","W","N",""
"1.03","W","W","N",""
"1.03","E","B","N",""
"1.03","W","W","N","M"
"1.03","W","W","N","F"
"1.02","W","W","N","F"
"1.02","W","","N",""
"1.02","W","W","N",""
"1.02","W","W","N",""
"1.02","W","W","N",""
"1.02","W","W","N",""
"1.02","W","H","Y",""
"1.02","W","W","N",""
"1.01","W","W","N",""
"1","","B","Y",""
"1","W","H","Y",""
"1","","W","N",""
"1","","W","N",""
"1","W","B","N","F"
"1","W","B","N",""
"1","W","H","N",""
"1","","W","Y","M"
"1","W","W","N",""
"1","","B","N","F"
"1","W","W","Y","F"
"1","","B","N",""
"1","","W","N",""
"1","W","B","N",""
"1","","B","N",""
"1","W","W","N",""
"1","W","B","N",""
"1","","W","N","F"
"1","W","H","N","M"
"1","","B","N",""
"1","W","B","N","M"
"1","","B","N",""
"1","W","B","N","F"
"1","W","","N",""
"1","W","B","N",""
"1","W","B","N",""
"1","","B","N","F"
"0.99","","B","N",""
"0.99","W","W","N",""
"0.98","","B","N",""
"0.98","W","W","Y",""
"0.98","W","W","N",""
"0.97","W","W","N",""
"0.97","W","","N",""
"0.97","W","W","N",""
"0.96","W","B","N",""
"0.96","","W","N",""
"0.96","W","B","N","M"
"0.96","","W","N",""
"0.96","W","W","N",""
"0.96","W","B","N",""
"0.95","","B","N",""
"0.95","W","W","Y",""
"0.95","W","W","N",""
"0.95","W","B","N",""
"0.95","W","W","N",""
"0.95","W","","N",""
"0.95","W","W","N",""
"0.95","W","H","Y",""
"0.95","W","W","N",""
"0.94","","B","N",""
"0.94","W","W","N",""
"0.94","W","W","N",""
"0.94","W","W","N",""
"0.94","","B","N",""
"0.93","W","W","N",""
"0.93","W","W","Y",""
"0.93","","W","N",""
"0.93","E","W","N",""
"0.92","","W","N",""
"0.92","","W","N",""
"0.92","W","W","Y",""
"0.92","W","W","Y",""
"0.9","W","H","N",""
"0.9","W","W","N",""
"0.9","W","W","N",""
"0.9","W","W","N",""
"0.9","","B","N","F"
"0.9","W","B","Y","M"
"0.9","W","W","N",""
"0.9","W","W","N",""
"0.9","W","W","N",""
"0.9","","W","N",""
"0.9","","B","N",""
"0.9","W","H","N","M"
"0.9","W","W","Y","M"
"0.9","W","W","N","M"
"0.9","","W","N",""
"0.9","","B","N","F"
"0.9","","B","N",""
"0.9","","B","N","M"
"0.9","W","W","N",""
"0.9","W","B","N",""
"0.9","","B","N",""
"0.9","W","B","N",""
"0.9","W","B","N",""
"0.88","W","W","N",""
"0.88","","W","N",""
"0.87","W","H","Y",""
"0.87","W","W","N",""
"0.86","W","W","N",""
"0.85","W","W","Y",""
"0.85","W","W","N",""
"0.85","W","B","N","M"
"0.85","W","","N",""
"0.85","W","B","N",""
"0.85","W","W","Y",""
"0.85","W","W","Y",""
"0.84","","W","Y","F"
"0.84","W","W","N",""
"0.84","W","B","N","F"
"0.83","W","B","N",""
"0.83","W","W","N",""
"0.83","W","W","N",""
"0.82","W","W","N",""
"0.81","W","W","Y",""
"0.81","E","H","N",NULL
"0.81","W","B","N",""
"0.81","W","W","N",""
"0.8","W","W","Y",""
"0.8","W","H","Y",""
"0.8","W","","N",""
"0.8","","W","N",""
"0.8","W","B","N",""
"0.8","W","H","Y",""
"0.8","W","W","Y",""
"0.8","W","B","N",""
"0.8","","H","N",""
"0.8","W","W","Y",""
"0.8","W","B","N",""
"0.8","W","W","N",""
"0.8","W","W","N",""
"0.8","W","W","Y",""
"0.8","W","H","N",""
"0.8","W","","N",""
"0.8","W","W","N",""
"0.8","W","B","Y",""
"0.8","W","H","N",""
"0.79","W","W","N",""
"0.79","W","W","N",""
"0.78","","W","N",""
"0.78","W","B","N",""
"0.78","","W","N","M"
"0.77","W","W","N",""
"0.77","","W","N",""
"0.76","W","B","N",""
"0.76","W","B","N",""
"0.76","W","W","Y",""
"0.76","W","W","Y",""
"0.76","W","W","N",""
"0.75","W","W","Y",""
"0.75","","B","N",""
"0.75","W","","N",""
"0.75","W","W","Y",""
"0.75","","W","N","F"
"0.75","W","B","N",""
"0.75","W","B","N",""
"0.75","W","W","Y",""
"0.75","W","W","N",""
"0.75","","W","N","F"
"0.75","W","","N",""
"0.75","W","H","N",""
"0.74","W","H","N",""
"0.74","W","W","Y",""
"0.74","W","B","Y","F"
"0.74","E","B","N",""
"0.73","W","W","N",""
"0.73","","W","N",""
"0.73","W","","Y",NULL
"0.72","W","W","N",""
"0.72","","W","N",""
"0.72","W","H","N","M"
"0.72","W","W","Y",NULL
"0.71","W","W","Y",""
"0.7","W","W","Y","M"
"0.7","W","W","N",""
"0.7","W","W","N",""
"0.7","W","B","N",""
"0.7","W","W","N","F"
"0.7","W","","N",""
"0.7","","W","Y","F"
"0.7","W","","N",""
"0.7","W","H","N",""
"0.69","W","W","N",""
"0.68","","B","N",""
"0.68","E","H","N","F"
"0.68","W","W","N",""
"0.68","","H","N",""
"0.67","W","W","N",""
"0.66","","W","N",""
"0.66","","W","N",""
"0.65","W","W","N",""
"0.65","W","W","N",""
"0.65","W","W","N",""
"0.65","W","B","N",""
"0.64","W","B","N","M"
"0.64","W","H","N",""
"0.64","W","B","N",NULL
"0.63","","B","N",""
"0.63","","B","N",""
"0.63","W","B","N",NULL
"0.63","W","","N",NULL
"0.61","","W","N",""
"0.6","W","B","N","M"
"0.6","W","B","N","M"
"0.6","W","H","N",""
"0.6","W","B","N","F"
"0.6","W","B","N",""
"0.6","W","H","N",""
"0.6","W","","N",""
"0.6","","B","N",""
"0.6","W","H","N",""
"0.6","W","W","N",NULL
"0.6","","B","N",""
"0.59","W","H","Y",""
"0.58","","H","N",""
"0.58","W","W","N",""
"0.57","W","B","N",""
"0.57","W","W","N",""
"0.57","","W","N",""
"0.56","W","W","Y",""
"0.56","W","W","N",""
"0.55","W","W","N",""
"0.55","W","B","N",""
"0.55","W","W","N",""
"0.55","","H","N",""
"0.54","W","B","Y",""
"0.54","W","W","N",""
"0.53","","H","N",""
"0.52","W","H","N",""
"0.52","","W","N",""
"0.5","W","W","Y",""
"0.5","W","B","Y",NULL
"0.5","W","B","N",""
"0.5","W","W","N",""
"0.5","W","B","N",""
"0.48","W","W","Y",""
"0.47","","W","N",""
"0.47","W","B","N","M"
"0.47","W","W","Y",""
"0.45","W","","N",""
"0.45","","W","N",""
"0.45","W","B","N",NULL
"0.44","W","B","N",""
"0.42","W","H","N",""
"0.42","W","W","Y",""
"0.4","W","B","Y",""
"0.4","W","B","N",""
"0.4","W","B","N",""
"0.4","","B","N",""
"0.38","W","H","N",""
"0.38","W","W","Y",""
"0.35","W","W","N",""
"0.35","","B","N","F"
"0.34","W","B","N",""
"0.32","W","","N",""
"0.32","W","B","N",""
"0.32","W","W","N",""
"0.31","W","","N",""
"0.3","W","W","Y",""
"0.3","W","W","N",""
"0.3","W","","N",""
"0.3","","","N",""
"0.3","W","W","N",""
"0.3","W","H","N",""
"0.28","","W","Y","F"
"0.26","W","W","N",""
"0.25","","B","N","F"
"0.21","W","H","Y",""
"0.2","W","B","N",""
"0.2","W","W","N","M"
"0.2","","","N",""
"0.17","W","B","N",NULL
"0.16","","W","N",""
"0.16","W","B","N",NULL
"0.15","","B","N",""
"0.13","W","B","N",NULL
"0.13","W","B","N",NULL
"0.13","W","B","N",NULL
"0.1","","B","N","M"
"0.1","W","W","N",""
"0.08","","W","N",""
"0.08","","B","N",""
"0.08","","B","N",""
"0.08","","B","N",""
"0","","H","N",""
"0","","B","N",""
"0","","B","N","M"
"0","","B","N",""
