"depth","facebundles"
"1.35","Y"
"0.65",NULL
"",NULL
"0.15",NULL
"1.7",NULL
"2",""
"1.9",NULL
"1.12",NULL
"1.43",NULL
"1.45",NULL
"1.31",NULL
"2.84",NULL
NULL,NULL
"0.8",NULL
"0.93","Y"
"1.05",NULL
NULL,NULL
"1.1",""
"0.25",NULL
NULL,NULL
"1",NULL
NULL,NULL
NULL,NULL
"0.9",""
NULL,NULL
NULL,NULL
"0.95","Y"
"1.62",NULL
"0.76",NULL
"2.3",NULL
"1.53",NULL
"0.98",NULL
"2.26",NULL
"0.81","Y"
"0.88",NULL
"1.55",NULL
"1.6",NULL
"1.2","Y"
"1.46",NULL
"2.45",NULL
"1.84",NULL
"0.6",NULL
"2.35",NULL
"1.3",""
"1.46",NULL
"0.65",NULL
"1.48",NULL
"0.95",NULL
"0.5",NULL
"2.11",NULL
"1.2",NULL
"2.4",NULL
"0.64",NULL
"0.7",NULL
NULL,NULL
"1.26",NULL
"0.75",NULL
NULL,NULL
"0.5",NULL
"1",NULL
"0.32",NULL
"2.3",NULL
"1.14",NULL
"1.03",NULL
"1.9",NULL
"0.96",NULL
"1.22",NULL
NULL,NULL
"1.14",NULL
"0.2",NULL
"2.28",NULL
"0.42",NULL
"1.42",NULL
"1","Y"
"1.86",NULL
"1.5",""
"0.7",NULL
NULL,NULL
"2.06",NULL
"1.4",NULL
"1","Y"
"0.85","Y"
"1.45",NULL
"1.34",NULL
"0.9",NULL
"0.45",NULL
"2.14",NULL
"1.06",NULL
"1.6",NULL
"1.26",NULL
"2.07",NULL
"0.4","Y"
"0.69",NULL
"0.66",NULL
"1.27",NULL
"2.4",NULL
"1.2",NULL
"",NULL
"2.312",NULL
"0.48",NULL
"0.99",NULL
"1.78",NULL
"1.03",NULL
"0.84",NULL
"2.04",NULL
NULL,NULL
"1.46",NULL
"1.68",NULL
"0.58",NULL
"U","#38,39"
"0.9",NULL
"1.3",NULL
"1.2",NULL
"0.5",NULL
"2.02",NULL
"0.68",NULL
"1",""
"1.45",NULL
"U","#38,39"
"1.48","Y"
"1.75",NULL
"0.56",NULL
"2.08",NULL
"1.3",NULL
"1.2",NULL
"1.41",NULL
"0.67",NULL
"1.03",NULL
"0.75",NULL
"0.8",NULL
"0.75","Y"
"0.63",NULL
"0.42","Y"
"0",""
"0.8",NULL
"2.31",NULL
NULL,NULL
"1.23",NULL
"0.66",NULL
"1.1",""
"0.5",NULL
"1.26",NULL
"0.93",NULL
"1.3",NULL
"U","Y"
"0.9",NULL
"0.85","Y"
"1.28",NULL
"1.22",NULL
"1.1",""
"1.9",NULL
"1.1","Y"
"0.9",NULL
"0.8",""
"1.43",NULL
"1.38",NULL
"0.34",NULL
"2.54",NULL
"0.84",NULL
"1.24",NULL
"1.03",NULL
"2.03",NULL
"0.6",NULL
"0.7",NULL
NULL,NULL
"0.75",NULL
"",NULL
"2.25",""
"1.8",NULL
"0.69",NULL
"1.52",NULL
"0.57",NULL
"0.37",NULL
"0.78",NULL
"0.66",NULL
"0.95",NULL
"2.3",NULL
NULL,NULL
"0.78",NULL
"1.7",NULL
"0.37",NULL
NULL,NULL
"1.2","Y"
"1.42",NULL
"1.27",NULL
"2.64",NULL
NULL,NULL
